2026-02-24 07:33:02 | DEBUG    | shortsqueeze.signals:scan_stock - INFY: price=$13.78, prev_close=$13.90 (source: yahoo)
2026-02-24 07:33:02 | DEBUG    | shortsqueeze.signals:scan_stock - INFY: No signal - price=False (-0.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($13.78 vs VWAP $14.02), squeeze=False, mom=False
2026-02-24 07:33:02 | DEBUG    | shortsqueeze.signals:scan_stock - AMPX: price=$9.61, prev_close=$10.21 (source: yahoo)
2026-02-24 07:33:03 | DEBUG    | shortsqueeze.signals:scan_stock - AMPX: No signal - price=False (-5.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($9.61 vs VWAP $10.20), squeeze=False, mom=False
2026-02-24 07:33:03 | DEBUG    | shortsqueeze.signals:scan_stock - TFC: price=$51.47, prev_close=$50.11 (source: yahoo)
2026-02-24 07:33:03 | DEBUG    | shortsqueeze.signals:scan_stock - TFC: No signal - price=False (+2.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($51.47 vs VWAP $50.19), squeeze=False, mom=False
2026-02-24 07:33:04 | DEBUG    | shortsqueeze.signals:scan_stock - ARM: price=$116.78, prev_close=$123.78 (source: yahoo)
2026-02-24 07:33:04 | DEBUG    | shortsqueeze.signals:scan_stock - ARM: No signal - price=False (-5.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($116.78 vs VWAP $123.70), squeeze=False, mom=False
2026-02-24 07:33:05 | DEBUG    | shortsqueeze.signals:scan_stock - ZIM: price=$31.12, prev_close=$28.68 (source: yahoo)
2026-02-24 07:33:05 | DEBUG    | shortsqueeze.signals:scan_stock - ZIM: No signal - price=True (+8.5%, need +5.0%), vol=False (ratio=0.1x, need 3.0x, src=alpaca), vwap=True ($31.12 vs VWAP $28.70), squeeze=False, mom=False
2026-02-24 07:33:05 | DEBUG    | shortsqueeze.signals:scan_stock - CDE: price=$24.02, prev_close=$24.43 (source: yahoo)
2026-02-24 07:33:06 | DEBUG    | shortsqueeze.signals:scan_stock - CDE: No signal - price=False (-1.7%, need +5.0%), vol=False (ratio=0.1x, need 3.0x, src=alpaca), vwap=False ($24.02 vs VWAP $24.73), squeeze=False, mom=False
2026-02-24 07:33:06 | DEBUG    | shortsqueeze.signals:scan_stock - RGTI: price=$15.91, prev_close=$16.02 (source: yahoo)
2026-02-24 07:33:06 | DEBUG    | shortsqueeze.signals:scan_stock - RGTI: No signal - price=False (-0.7%, need +5.0%), vol=False (ratio=0.1x, need 3.0x, src=alpaca), vwap=False ($15.91 vs VWAP $15.94), squeeze=False, mom=False
2026-02-24 07:33:07 | DEBUG    | shortsqueeze.signals:scan_stock - STUB: price=$9.48, prev_close=$9.29 (source: yahoo)
2026-02-24 07:33:07 | DEBUG    | shortsqueeze.signals:scan_stock - STUB: No signal - price=False (+2.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($9.48 vs VWAP $9.15), squeeze=False, mom=False
2026-02-24 07:33:08 | DEBUG    | shortsqueeze.signals:scan_stock - BTGO: price=$4.10, prev_close=$9.50 (source: yahoo)
2026-02-24 07:33:08 | DEBUG    | shortsqueeze.signals:scan_stock - BTGO: Using Yahoo volume=15,464
2026-02-24 07:33:08 | DEBUG    | shortsqueeze.signals:scan_stock - BTGO: No signal - price=False (-56.8%, need +5.0%), vol=False (ratio=2.0x, need 3.0x, src=yahoo), vwap=False ($4.10 vs VWAP $9.64), squeeze=False, mom=False
2026-02-24 07:33:09 | DEBUG    | shortsqueeze.signals:scan_stock - TE: price=$5.73, prev_close=$6.29 (source: yahoo)
2026-02-24 07:33:09 | DEBUG    | shortsqueeze.signals:scan_stock - TE: No signal - price=False (-8.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($5.73 vs VWAP $6.21), squeeze=False, mom=False
2026-02-24 07:33:09 | DEBUG    | shortsqueeze.signals:scan_stock - HBM: price=$27.70, prev_close=$26.07 (source: yahoo)
2026-02-24 07:33:10 | DEBUG    | shortsqueeze.signals:scan_stock - HBM: No signal - price=True (+6.3%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($27.70 vs VWAP $25.76), squeeze=False, mom=False
2026-02-24 07:33:10 | DEBUG    | shortsqueeze.signals:scan_stock - MBLY: price=$8.83, prev_close=$8.70 (source: yahoo)
2026-02-24 07:33:10 | DEBUG    | shortsqueeze.signals:scan_stock - MBLY: No signal - price=False (+1.5%, need +5.0%), vol=False (ratio=0.1x, need 3.0x, src=alpaca), vwap=True ($8.83 vs VWAP $8.71), squeeze=False, mom=False
2026-02-24 07:33:11 | DEBUG    | shortsqueeze.signals:scan_stock - XME: price=$58.16, prev_close=$117.77 (source: yahoo)
2026-02-24 07:33:11 | DEBUG    | shortsqueeze.signals:scan_stock - XME: Using Yahoo volume=110,792
2026-02-24 07:33:11 | DEBUG    | shortsqueeze.signals:scan_stock - XME: No signal - price=False (-50.6%, need +5.0%), vol=True (ratio=4.5x, need 3.0x, src=yahoo), vwap=False ($58.16 vs VWAP $117.47), squeeze=False, mom=False
2026-02-24 07:33:12 | DEBUG    | shortsqueeze.signals:scan_stock - GEMI: price=$5.71, prev_close=$5.87 (source: yahoo)
2026-02-24 07:33:12 | DEBUG    | shortsqueeze.signals:scan_stock - GEMI: No signal - price=False (-2.7%, need +5.0%), vol=False (ratio=0.1x, need 3.0x, src=alpaca), vwap=False ($5.71 vs VWAP $5.72), squeeze=False, mom=False
2026-02-24 07:33:12 | DEBUG    | shortsqueeze.signals:scan_stock - ORC: price=$7.59, prev_close=$7.60 (source: yahoo)
2026-02-24 07:33:13 | DEBUG    | shortsqueeze.signals:scan_stock - ORC: No signal - price=False (-0.1%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($7.59 vs VWAP $7.58), squeeze=False, mom=False
2026-02-24 07:33:13 | DEBUG    | shortsqueeze.signals:scan_stock - BTG: price=$5.62, prev_close=$5.74 (source: yahoo)
2026-02-24 07:33:13 | DEBUG    | shortsqueeze.signals:scan_stock - BTG: No signal - price=False (-2.1%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($5.62 vs VWAP $5.72), squeeze=False, mom=False
2026-02-24 07:33:14 | DEBUG    | shortsqueeze.signals:scan_stock - KYIV: price=$22.45, prev_close=$11.93 (source: yahoo)
2026-02-24 07:33:14 | DEBUG    | shortsqueeze.signals:scan_stock - KYIV: Using Yahoo volume=10,986
