2026-03-05 09:59:58 | DEBUG    | shortsqueeze.signals:scan_stock - LSEGY: Alpaca returned insufficient data, trying Yahoo...
2026-03-05 09:59:58 | DEBUG    | shortsqueeze.signals:scan_stock - LSEGY: Got 20 bars from Yahoo
2026-03-05 09:59:58 | DEBUG    | shortsqueeze.signals:scan_stock - LSEGY: price=$29.01, prev_close=$29.18 (source: yahoo)
2026-03-05 09:59:59 | DEBUG    | shortsqueeze.signals:scan_stock - LSEGY: Using Yahoo volume=230,769
2026-03-05 09:59:59 | DEBUG    | shortsqueeze.signals:scan_stock - LSEGY: No signal - price=False (-0.6%, need +5.0%), vol=False (ratio=0.2x, need 3.0x, src=yahoo), vwap=True, squeeze=False, mom=False
2026-03-05 09:59:59 | DEBUG    | shortsqueeze.signals:scan_stock - CMPX: price=$5.74, prev_close=$5.69 (source: yahoo)
2026-03-05 10:00:00 | DEBUG    | shortsqueeze.signals:scan_stock - CMPX: No signal - price=False (+0.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($5.74 vs VWAP $5.74), squeeze=False, mom=False
2026-03-05 10:00:00 | DEBUG    | shortsqueeze.signals:scan_stock - EWY: price=$127.73, prev_close=$134.37 (source: yahoo)
2026-03-05 10:00:01 | DEBUG    | shortsqueeze.signals:scan_stock - EWY: No signal - price=False (-4.9%, need +5.0%), vol=False (ratio=0.1x, need 3.0x, src=alpaca), vwap=False ($127.73 vs VWAP $134.00), squeeze=False, mom=False
2026-03-05 10:00:01 | DEBUG    | shortsqueeze.signals:scan_stock - CAG: price=$18.91, prev_close=$18.85 (source: yahoo)
2026-03-05 10:00:02 | DEBUG    | shortsqueeze.signals:scan_stock - CAG: No signal - price=False (+0.3%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($18.91 vs VWAP $18.82), squeeze=False, mom=False
2026-03-05 10:00:02 | DEBUG    | shortsqueeze.signals:scan_stock - RELX: price=$35.06, prev_close=$34.18 (source: yahoo)
2026-03-05 10:00:03 | DEBUG    | shortsqueeze.signals:scan_stock - RELX: No signal - price=False (+2.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($35.06 vs VWAP $34.34), squeeze=False, mom=False
2026-03-05 10:00:03 | DEBUG    | shortsqueeze.signals:scan_stock - ANGI: price=$9.14, prev_close=$8.97 (source: yahoo)
2026-03-05 10:00:03 | DEBUG    | shortsqueeze.signals:scan_stock - ANGI: No signal - price=False (+2.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($9.14 vs VWAP $8.85), squeeze=False, mom=False
2026-03-05 10:00:04 | DEBUG    | shortsqueeze.signals:scan_stock - IVR: price=$8.36, prev_close=$8.34 (source: yahoo)
2026-03-05 10:00:04 | DEBUG    | shortsqueeze.signals:scan_stock - IVR: Using Yahoo volume=685,286
2026-03-05 10:00:04 | DEBUG    | shortsqueeze.signals:scan_stock - IVR: No signal - price=False (+0.3%, need +5.0%), vol=False (ratio=0.7x, need 3.0x, src=yahoo), vwap=False ($8.36 vs VWAP $8.39), squeeze=False, mom=False
2026-03-05 10:00:05 | DEBUG    | shortsqueeze.signals:scan_stock - IBB: price=$169.00, prev_close=$172.97 (source: yahoo)
2026-03-05 10:00:05 | DEBUG    | shortsqueeze.signals:scan_stock - IBB: Using Yahoo volume=724,830
2026-03-05 10:00:05 | DEBUG    | shortsqueeze.signals:scan_stock - IBB: No signal - price=False (-2.3%, need +5.0%), vol=False (ratio=1.1x, need 3.0x, src=yahoo), vwap=False ($169.00 vs VWAP $172.15), squeeze=False, mom=False
2026-03-05 10:00:06 | DEBUG    | shortsqueeze.signals:scan_stock - DOC: price=$17.34, prev_close=$17.65 (source: yahoo)
2026-03-05 10:00:06 | DEBUG    | shortsqueeze.signals:scan_stock - DOC: Using Yahoo volume=1,216,764
2026-03-05 10:00:06 | DEBUG    | shortsqueeze.signals:scan_stock - DOC: No signal - price=False (-1.8%, need +5.0%), vol=False (ratio=0.3x, need 3.0x, src=yahoo), vwap=False ($17.34 vs VWAP $17.48), squeeze=False, mom=False
2026-03-05 10:00:07 | DEBUG    | shortsqueeze.signals:scan_stock - XPEV: price=$16.23, prev_close=$16.17 (source: yahoo)
2026-03-05 10:00:07 | DEBUG    | shortsqueeze.signals:scan_stock - XPEV: No signal - price=False (+0.3%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($16.23 vs VWAP $16.18), squeeze=False, mom=False
2026-03-05 10:00:08 | DEBUG    | shortsqueeze.signals:scan_stock - ZETA: price=$19.21, prev_close=$18.76 (source: yahoo)
2026-03-05 10:00:08 | DEBUG    | shortsqueeze.signals:scan_stock - ZETA: No signal - price=False (+2.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($19.21 vs VWAP $18.61), squeeze=False, mom=False
2026-03-05 10:00:09 | DEBUG    | shortsqueeze.signals:scan_stock - MUX: price=$12.04, prev_close=$25.83 (source: yahoo)
2026-03-05 10:00:09 | DEBUG    | shortsqueeze.signals:scan_stock - MUX: No signal - price=False (-53.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($12.04 vs VWAP $25.79), squeeze=False, mom=False
2026-03-05 10:00:10 | DEBUG    | shortsqueeze.signals:scan_stock - BA: price=$222.37, prev_close=$227.31 (source: yahoo)
2026-03-05 10:00:10 | DEBUG    | shortsqueeze.signals:scan_stock - BA: No signal - price=False (-2.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($222.37 vs VWAP $225.59), squeeze=False, mom=False
2026-03-05 10:00:11 | DEBUG    | shortsqueeze.signals:scan_stock - PSNL: price=$3.85, prev_close=$8.93 (source: yahoo)
2026-03-05 10:00:11 | DEBUG    | shortsqueeze.signals:scan_stock - PSNL: No signal - price=False (-56.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($3.85 vs VWAP $8.92), squeeze=False, mom=False
2026-03-05 10:00:12 | DEBUG    | shortsqueeze.signals:scan_stock - TAK: price=$17.71, prev_close=$18.22 (source: yahoo)
2026-03-05 10:00:12 | DEBUG    | shortsqueeze.signals:scan_stock - TAK: No signal - price=False (-2.8%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($17.71 vs VWAP $18.20), squeeze=False, mom=False
2026-03-05 10:00:13 | DEBUG    | shortsqueeze.signals:scan_stock - SMCI: price=$33.18, prev_close=$32.65 (source: yahoo)
2026-03-05 10:00:13 | DEBUG    | shortsqueeze.signals:scan_stock - SMCI: No signal - price=False (+1.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($33.18 vs VWAP $32.25), squeeze=False, mom=False
2026-03-05 10:00:14 | DEBUG    | shortsqueeze.signals:scan_stock - CTOS: price=$6.92, prev_close=$7.06 (source: yahoo)
2026-03-05 10:00:14 | DEBUG    | shortsqueeze.signals:scan_stock - CTOS: Using Yahoo volume=150,600
2026-03-05 10:00:14 | DEBUG    | shortsqueeze.signals:scan_stock - CTOS: No signal - price=False (-2.1%, need +5.0%), vol=False (ratio=0.5x, need 3.0x, src=yahoo), vwap=False ($6.92 vs VWAP $7.10), squeeze=False, mom=False
2026-03-05 10:00:15 | DEBUG    | shortsqueeze.signals:scan_stock - SBET: price=$7.80, prev_close=$8.13 (source: yahoo)
2026-03-05 10:00:15 | DEBUG    | shortsqueeze.signals:scan_stock - SBET: No signal - price=False (-4.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($7.80 vs VWAP $8.01), squeeze=False, mom=False
2026-03-05 10:00:16 | DEBUG    | shortsqueeze.signals:scan_stock - NXE: price=$12.48, prev_close=$12.77 (source: yahoo)
2026-03-05 10:00:16 | DEBUG    | shortsqueeze.signals:scan_stock - NXE: No signal - price=False (-2.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($12.48 vs VWAP $12.70), squeeze=False, mom=False
2026-03-05 10:00:17 | DEBUG    | shortsqueeze.signals:scan_stock - SEDG: price=$35.53, prev_close=$37.94 (source: yahoo)
2026-03-05 10:00:17 | DEBUG    | shortsqueeze.signals:scan_stock - SEDG: Using Yahoo volume=1,207,723
2026-03-05 10:00:17 | DEBUG    | shortsqueeze.signals:scan_stock - SEDG: No signal - price=False (-6.4%, need +5.0%), vol=False (ratio=0.9x, need 3.0x, src=yahoo), vwap=False ($35.53 vs VWAP $37.99), squeeze=False, mom=False
2026-03-05 10:00:18 | DEBUG    | shortsqueeze.signals:scan_stock - SVRA: price=$5.42, prev_close=$5.62 (source: yahoo)
2026-03-05 10:00:19 | DEBUG    | shortsqueeze.signals:scan_stock - SVRA: Using Yahoo volume=403,384
2026-03-05 10:00:19 | DEBUG    | shortsqueeze.signals:scan_stock - SVRA: No signal - price=False (-3.5%, need +5.0%), vol=False (ratio=0.7x, need 3.0x, src=yahoo), vwap=False ($5.42 vs VWAP $5.65), squeeze=False, mom=False
2026-03-05 10:00:19 | DEBUG    | shortsqueeze.signals:scan_stock - USAS: price=$8.59, prev_close=$9.49 (source: yahoo)
2026-03-05 10:00:19 | DEBUG    | shortsqueeze.signals:scan_stock - USAS: No signal - price=False (-9.5%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($8.59 vs VWAP $9.37), squeeze=False, mom=False
2026-03-05 10:00:20 | DEBUG    | shortsqueeze.signals:scan_stock - HL: price=$20.57, prev_close=$21.76 (source: yahoo)
2026-03-05 10:00:21 | DEBUG    | shortsqueeze.signals:scan_stock - HL: No signal - price=False (-5.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($20.57 vs VWAP $21.91), squeeze=False, mom=False
2026-03-05 10:00:21 | DEBUG    | shortsqueeze.signals:scan_stock - JD: price=$25.13, prev_close=$25.40 (source: yahoo)
2026-03-05 10:00:21 | DEBUG    | shortsqueeze.signals:scan_stock - JD: No signal - price=False (-1.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($25.13 vs VWAP $25.30), squeeze=False, mom=False
2026-03-05 10:00:22 | DEBUG    | shortsqueeze.signals:scan_stock - PICK: price=$58.88, prev_close=$61.23 (source: yahoo)
2026-03-05 10:00:22 | DEBUG    | shortsqueeze.signals:scan_stock - PICK: Using Yahoo volume=173,450
2026-03-05 10:00:22 | DEBUG    | shortsqueeze.signals:scan_stock - PICK: No signal - price=False (-3.8%, need +5.0%), vol=False (ratio=0.8x, need 3.0x, src=yahoo), vwap=False ($58.88 vs VWAP $61.33), squeeze=False, mom=False
2026-03-05 10:00:23 | DEBUG    | shortsqueeze.signals:scan_stock - FIG: price=$29.69, prev_close=$29.64 (source: yahoo)
2026-03-05 10:00:23 | DEBUG    | shortsqueeze.signals:scan_stock - FIG: No signal - price=False (+0.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($29.69 vs VWAP $30.23), squeeze=False, mom=False
2026-03-05 10:00:24 | DEBUG    | shortsqueeze.signals:scan_stock - WYFI: price=$8.20, prev_close=$16.94 (source: yahoo)
2026-03-05 10:00:24 | DEBUG    | shortsqueeze.signals:scan_stock - WYFI: No signal - price=False (-51.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($8.20 vs VWAP $16.86), squeeze=False, mom=False
2026-03-05 10:00:25 | DEBUG    | shortsqueeze.signals:scan_stock - CORZ: price=$15.52, prev_close=$15.84 (source: yahoo)
2026-03-05 10:00:25 | DEBUG    | shortsqueeze.signals:scan_stock - CORZ: No signal - price=False (-2.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($15.52 vs VWAP $16.02), squeeze=False, mom=False
2026-03-05 10:00:26 | DEBUG    | shortsqueeze.signals:scan_stock - QXO: price=$22.93, prev_close=$23.26 (source: yahoo)
