2026-02-25 09:04:32 | DEBUG    | shortsqueeze.signals:scan_stock - ALKEF: price=$1.21, prev_close=$1.13 (source: yahoo)
2026-02-25 09:04:33 | DEBUG    | shortsqueeze.signals:scan_stock - ALKEF: Using Yahoo volume=24,957
2026-02-25 09:04:33 | DEBUG    | shortsqueeze.signals:scan_stock - ALKEF: No signal - price=True (+7.1%, need +5.0%), vol=False (ratio=0.3x, need 3.0x, src=yahoo), vwap=True, squeeze=False, mom=False
2026-02-25 09:04:33 | DEBUG    | shortsqueeze.signals:scan_stock - CURLF: Alpaca returned insufficient data, trying Yahoo...
2026-02-25 09:04:33 | DEBUG    | shortsqueeze.signals:scan_stock - CURLF: Got 22 bars from Yahoo
2026-02-25 09:04:33 | DEBUG    | shortsqueeze.signals:scan_stock - CURLF: price=$2.42, prev_close=$2.45 (source: yahoo)
2026-02-25 09:04:33 | DEBUG    | shortsqueeze.signals:scan_stock - CURLF: Using Yahoo volume=5,890
2026-02-25 09:04:33 | DEBUG    | shortsqueeze.signals:scan_stock - CURLF: No signal - price=False (-1.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=yahoo), vwap=True, squeeze=False, mom=False
2026-02-25 09:04:34 | DEBUG    | shortsqueeze.signals:scan_stock - ENLV: price=$1.10, prev_close=$1.15 (source: yahoo)
2026-02-25 09:04:34 | DEBUG    | shortsqueeze.signals:scan_stock - ENLV: Using Yahoo volume=122,707
2026-02-25 09:04:34 | DEBUG    | shortsqueeze.signals:scan_stock - ENLV: No signal - price=False (-3.9%, need +5.0%), vol=False (ratio=1.5x, need 3.0x, src=yahoo), vwap=False ($1.10 vs VWAP $1.16), squeeze=False, mom=False
2026-02-25 09:04:34 | DEBUG    | shortsqueeze.signals:scan_stock - ALTS: price=$1.46, prev_close=$1.22 (source: yahoo)
2026-02-25 09:04:35 | DEBUG    | shortsqueeze.signals:scan_stock - ALTS: No signal - price=True (+19.3%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($1.46 vs VWAP $1.25), squeeze=False, mom=False
2026-02-25 09:04:35 | DEBUG    | shortsqueeze.signals:scan_stock - BB: price=$3.42, prev_close=$3.38 (source: yahoo)
2026-02-25 09:04:35 | DEBUG    | shortsqueeze.signals:scan_stock - BB: No signal - price=False (+1.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($3.42 vs VWAP $3.38), squeeze=False, mom=False
2026-02-25 09:04:36 | DEBUG    | shortsqueeze.signals:scan_stock - NUAI: price=$5.04, prev_close=$5.04 (source: yahoo)
2026-02-25 09:04:36 | DEBUG    | shortsqueeze.signals:scan_stock - NUAI: No signal - price=False (+0.1%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($5.04 vs VWAP $5.04), squeeze=False, mom=False
2026-02-25 09:04:36 | DEBUG    | shortsqueeze.signals:scan_stock - TII: price=$1.83, prev_close=$3.67 (source: yahoo)
2026-02-25 09:04:37 | DEBUG    | shortsqueeze.signals:scan_stock - TII: No signal - price=False (-50.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($1.83 vs VWAP $3.60), squeeze=False, mom=False
2026-02-25 09:04:37 | DEBUG    | shortsqueeze.signals:scan_stock - FUBO: price=$1.23, prev_close=$1.16 (source: yahoo)
2026-02-25 09:04:37 | DEBUG    | shortsqueeze.signals:scan_stock - FUBO: No signal - price=True (+5.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($1.23 vs VWAP $1.18), squeeze=False, mom=False
2026-02-25 09:04:38 | DEBUG    | shortsqueeze.signals:scan_stock - TMQ: price=$4.50, prev_close=$4.38 (source: yahoo)
2026-02-25 09:04:38 | DEBUG    | shortsqueeze.signals:scan_stock - TMQ: No signal - price=False (+2.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($4.50 vs VWAP $4.26), squeeze=False, mom=False
2026-02-25 09:04:38 | DEBUG    | shortsqueeze.signals:scan_stock - AUTL: price=$4.25, prev_close=$1.82 (source: yahoo)
2026-02-25 09:04:39 | DEBUG    | shortsqueeze.signals:scan_stock - AUTL: No signal - price=True (+133.8%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($4.25 vs VWAP $1.84), squeeze=False, mom=False
2026-02-25 09:04:39 | DEBUG    | shortsqueeze.signals:scan_stock - CLOV: price=$2.06, prev_close=$2.01 (source: yahoo)
2026-02-25 09:04:39 | DEBUG    | shortsqueeze.signals:scan_stock - CLOV: Using Yahoo volume=1,892,664
2026-02-25 09:04:39 | DEBUG    | shortsqueeze.signals:scan_stock - CLOV: No signal - price=False (+2.7%, need +5.0%), vol=False (ratio=1.4x, need 3.0x, src=yahoo), vwap=True ($2.06 vs VWAP $1.99), squeeze=False, mom=False
2026-02-25 09:04:40 | DEBUG    | shortsqueeze.signals:scan_stock - SLI: price=$4.89, prev_close=$4.77 (source: yahoo)
2026-02-25 09:04:40 | DEBUG    | shortsqueeze.signals:scan_stock - SLI: No signal - price=False (+2.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($4.89 vs VWAP $4.76), squeeze=False, mom=False
2026-02-25 09:04:40 | DEBUG    | shortsqueeze.signals:scan_stock - SPWR: price=$1.40, prev_close=$1.45 (source: yahoo)
2026-02-25 09:04:41 | DEBUG    | shortsqueeze.signals:scan_stock - SPWR: Using Yahoo volume=499,345
2026-02-25 09:04:41 | DEBUG    | shortsqueeze.signals:scan_stock - SPWR: No signal - price=False (-3.1%, need +5.0%), vol=False (ratio=1.4x, need 3.0x, src=yahoo), vwap=False ($1.40 vs VWAP $1.44), squeeze=False, mom=False
2026-02-25 09:04:41 | DEBUG    | shortsqueeze.signals:scan_stock - BTQ: price=$3.06, prev_close=$2.52 (source: yahoo)
2026-02-25 09:04:41 | DEBUG    | shortsqueeze.signals:scan_stock - BTQ: No signal - price=True (+21.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($3.06 vs VWAP $2.52), squeeze=False, mom=False
2026-02-25 09:04:42 | DEBUG    | shortsqueeze.signals:scan_stock - SKYX: price=$2.09, prev_close=$2.02 (source: yahoo)
2026-02-25 09:04:42 | DEBUG    | shortsqueeze.signals:scan_stock - SKYX: Using Yahoo volume=182,223
2026-02-25 09:04:42 | DEBUG    | shortsqueeze.signals:scan_stock - SKYX: No signal - price=False (+3.7%, need +5.0%), vol=False (ratio=0.9x, need 3.0x, src=yahoo), vwap=True ($2.09 vs VWAP $2.02), squeeze=False, mom=False
2026-02-25 09:04:42 | DEBUG    | shortsqueeze.signals:scan_stock - LX: price=$2.95, prev_close=$3.01 (source: yahoo)
2026-02-25 09:04:42 | DEBUG    | shortsqueeze.signals:scan_stock - LX: Using Yahoo volume=304,986
2026-02-25 09:04:42 | DEBUG    | shortsqueeze.signals:scan_stock - LX: No signal - price=False (-2.2%, need +5.0%), vol=False (ratio=1.0x, need 3.0x, src=yahoo), vwap=False ($2.95 vs VWAP $2.98), squeeze=False, mom=False
2026-02-25 09:04:43 | DEBUG    | shortsqueeze.signals:scan_stock - ABAT: price=$3.79, prev_close=$3.66 (source: yahoo)
2026-02-25 09:04:43 | DEBUG    | shortsqueeze.signals:scan_stock - ABAT: No signal - price=False (+3.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($3.79 vs VWAP $3.63), squeeze=False, mom=False
2026-02-25 09:04:43 | DEBUG    | shortsqueeze.signals:scan_stock - RANI: price=$1.29, prev_close=$1.31 (source: yahoo)
2026-02-25 09:04:44 | DEBUG    | shortsqueeze.signals:scan_stock - RANI: No signal - price=False (-1.1%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($1.29 vs VWAP $1.33), squeeze=False, mom=False
2026-02-25 09:04:44 | DEBUG    | shortsqueeze.signals:scan_stock - NEOV: price=$3.42, prev_close=$3.30 (source: yahoo)
2026-02-25 09:04:44 | DEBUG    | shortsqueeze.signals:scan_stock - NEOV: Using Yahoo volume=80,720
2026-02-25 09:04:44 | DEBUG    | shortsqueeze.signals:scan_stock - NEOV: No signal - price=False (+3.6%, need +5.0%), vol=False (ratio=0.6x, need 3.0x, src=yahoo), vwap=True ($3.42 vs VWAP $3.36), squeeze=False, mom=False
2026-02-25 09:04:45 | DEBUG    | shortsqueeze.signals:scan_stock - TDOC: price=$4.59, prev_close=$4.54 (source: yahoo)
2026-02-25 09:04:45 | DEBUG    | shortsqueeze.signals:scan_stock - TDOC: No signal - price=False (+1.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($4.59 vs VWAP $4.52), squeeze=False, mom=False
2026-02-25 09:04:45 | DEBUG    | shortsqueeze.signals:scan_stock - HNST: price=$2.25, prev_close=$2.26 (source: yahoo)
2026-02-25 09:04:45 | DEBUG    | shortsqueeze.signals:scan_stock - HNST: No signal - price=False (-0.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($2.25 vs VWAP $2.27), squeeze=False, mom=False
2026-02-25 09:04:46 | DEBUG    | shortsqueeze.signals:scan_stock - SNDL: price=$1.54, prev_close=$1.55 (source: yahoo)
2026-02-25 09:04:46 | DEBUG    | shortsqueeze.signals:scan_stock - SNDL: No signal - price=False (-0.3%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($1.54 vs VWAP $1.52), squeeze=False, mom=False
2026-02-25 09:04:46 | DEBUG    | shortsqueeze.signals:scan_stock - VGZ: price=$2.84, prev_close=$2.86 (source: yahoo)
2026-02-25 09:04:47 | DEBUG    | shortsqueeze.signals:scan_stock - VGZ: No signal - price=False (-0.5%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($2.84 vs VWAP $2.85), squeeze=False, mom=False
2026-02-25 09:04:47 | INFO     | shortsqueeze.signals:scan_watchlist - Scan complete: 276 stocks scanned, 0 signals detected, 0 errors
2026-02-25 09:04:47 | INFO     | shortsqueeze.bot:_run_scan - No signals detected
2026-02-25 09:06:28 | INFO     | shortsqueeze.bot:_run_scan - Running intraday scan...
2026-02-25 09:06:30 | INFO     | shortsqueeze.signals:scan_watchlist - Scanning 276 stocks from watchlist...
2026-02-25 09:06:32 | DEBUG    | shortsqueeze.signals:scan_stock - PLAY: price=$7.40, prev_close=$14.63 (source: yahoo)
2026-02-25 09:06:32 | DEBUG    | shortsqueeze.signals:scan_stock - PLAY: No signal - price=False (-49.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($7.40 vs VWAP $14.73), squeeze=False, mom=False
2026-02-25 09:06:32 | DEBUG    | shortsqueeze.signals:scan_stock - WEN: price=$7.58, prev_close=$7.73 (source: yahoo)
2026-02-25 09:06:32 | DEBUG    | shortsqueeze.signals:scan_stock - WEN: No signal - price=False (-2.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($7.58 vs VWAP $7.72), squeeze=False, mom=False
2026-02-25 09:06:33 | DEBUG    | shortsqueeze.signals:scan_stock - DBI: price=$7.32, prev_close=$7.38 (source: yahoo)
2026-02-25 09:06:33 | DEBUG    | shortsqueeze.signals:scan_stock - DBI: No signal - price=False (-0.8%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($7.32 vs VWAP $7.27), squeeze=False, mom=False
2026-02-25 09:06:34 | DEBUG    | shortsqueeze.signals:scan_stock - KALV: price=$15.87, prev_close=$15.77 (source: yahoo)
2026-02-25 09:06:34 | DEBUG    | shortsqueeze.signals:scan_stock - KALV: No signal - price=False (+0.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($15.87 vs VWAP $15.71), squeeze=False, mom=False
2026-02-25 09:06:34 | DEBUG    | shortsqueeze.signals:scan_stock - CLSK: price=$10.57, prev_close=$10.35 (source: yahoo)
