2026-06-22 13:16:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 13:21:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 13:26:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 13:31:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 13:36:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 13:41:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 13:46:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 13:51:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 13:56:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 14:01:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 14:06:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 14:11:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 14:16:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 14:21:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 14:26:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 14:31:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 14:36:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 14:41:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 14:46:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 14:51:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 14:56:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 15:01:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 15:06:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 15:11:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 15:16:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 15:21:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 15:26:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 15:31:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 15:36:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 15:41:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 15:46:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 15:51:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 15:56:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 16:01:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 16:06:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 16:11:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 16:16:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 16:21:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 16:26:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 16:31:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 16:36:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 16:41:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 16:46:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 16:51:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 16:56:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 17:01:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 17:06:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 17:11:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 17:16:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 17:21:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 17:26:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
2026-06-22 17:31:59 | DEBUG    | shortsqueeze.bot:_run_scan - Market closed, skipping scan
